email,username,password,fullName,role,mobileNumber,address
ravi45@gmail.com,ravi,12345678,ravi ghelani,developer,1557554852,surat
utsva45@gmail.com,utsav,12345678,utsav gohil,developer,1554694852,surat
mayank45@gmail.com,mayank,12345678,mayank sankar,manager,1557554412,vadodara
shyam@gmail.com,sayam,12345678,shyam abc,developer,1465554852,mumbai
ram45@gmail.com,ram,12345678,ram manohar,Intern,1557541852,vadodara
tirth5@gmail.com,tirth,12345678,tirth ghelani,developer,1512212152,surat
julz45@gmail.com,julz,12345678,julz gilglad,manager,1557544852,mumbai
gil45@gmail.com,gil,12345678,gil johan,developer,1557111112,mumbai
fred45@gmail.com,fred,12345678,fred tutsi,developer,1887554852,surat
rio23@gmail.com,rio,12345678,rio marvel,Intern,2222222222,mumbai
albetro23@gmail.com,albetro,12345678,albetro marvel,Intern,2222222222,dilhi
